fecha,Términos de intercambio,Remesas,Diferencial de tasas,Déficit fiscal,Dólar amplio,VIX,otros_componentes,suma_factores,ajuste_total,cierre_contable
2007-03-01,-0.00026921865299154066,0.002486389374135006,-0.0024007113882950895,3.6143251895015156e-06,-0.006090579346886311,0.011773949033615524,-0.0005941980394302418,0.00550344334476709,0.004909245305336848,0.0
2007-04-01,-0.003413220868827007,0.0010220811865897196,-0.0026877889053073447,0.0007902472542074675,-0.018255630916317746,-0.006101550070792054,-0.0005941980394302418,-0.028645862320446965,-0.029240060359877206,0.0
2007-05-01,-0.0028903563315180254,0.00240381841968166,-0.0020941381383959754,-0.001174311121070136,-0.012182064236863311,0.001066842578938167,-0.0005941980394302418,-0.01487020882922762,-0.015464406868657864,3.469446951953614e-18
2007-06-01,-0.00027370794283195356,-0.0018875514491243342,-0.0031922837475548468,-0.0028060460455469694,-0.003741443545423359,0.004486603333176543,-0.0005941980394302418,-0.007414429397304919,-0.008008627436735163,1.734723475976807e-18
2007-07-01,-0.0011656440617532353,-0.0005190677934768207,-0.00274536402289717,0.0010738310262491107,-0.016831841512256192,0.0055473856659187986,-0.0005941980394302418,-0.01464070069821551,-0.015234898737645754,3.469446951953614e-18
2007-08-01,0.0029802463754629986,0.003817673458393821,-0.0015450653338165484,0.0011294805778924934,0.007558806263166866,0.014222348437235537,-0.0005941980394302418,0.028163489778335167,0.027569291738904926,0.0
2007-09-01,-0.0040762273551989536,0.005335626727926944,-0.004689464825158081,-0.0005774345824054146,-0.01812302151896815,-0.004598424235866845,-0.0005941980394302418,-0.0267289457896705,-0.02732314382910074,0.0
2007-10-01,-0.0029722645629598862,0.005127579425452589,-0.0007916863693935946,0.0011653049275890436,-0.028394027625474497,-0.005736331409674464,-0.0005941980394302418,-0.03160142561446081,-0.03219562365389105,0.0
2007-11-01,0.0005888060786048671,0.006322789518727377,-0.001781294331135612,0.0003366780104502092,-0.019137688341425842,0.011178115876056268,-0.0005941980394302418,-0.002492593188722733,-0.003086791228152974,-8.673617379884035e-19
2007-12-01,-0.0009295493595271725,0.007895952527043462,-0.003084278147429234,0.00037131007850379973,0.013553013755864204,-0.006400537647856647,-0.0005941980394302418,0.01140591120659841,0.010811713167168169,0.0
2008-01-01,0.0011908271298662297,0.0032595363391687416,-0.004535703157984188,-0.00039079126821327503,-0.008637125515095377,0.006749540187457198,-0.0005941980394302418,-0.00236371628480067,-0.002957914324230911,-8.673617379884035e-19
2008-02-01,-0.003344534026010867,0.004675710978817401,-0.0029688238852260173,-0.001185734786448428,-0.010791359724753207,-0.0005389791194644938,-0.0005941980394302418,-0.014153720563085613,-0.014747918602515855,0.0
2008-03-01,-0.0038276972633118963,0.0035274376826502783,-0.009926791588646492,0.0006488824993765138,-0.026201054211368438,0.002405641670233268,-0.0005941980394302418,-0.03337358121106677,-0.03396777925049701,0.0
2008-04-01,0.0011407940803982257,0.003051819796458325,-0.005709014206877162,-0.0010854363368288976,-0.004297962653707012,-0.00877292109331201,-0.0005941980394302418,-0.01567272041386853,-0.016266918453298772,0.0
2008-05-01,-0.0034968292459239044,0.005238609381017519,-0.003265706273748612,-0.0032070028462379795,0.004071862177996598,-0.006286638160825696,-0.0005941980394302418,-0.006945704967722075,-0.0075399030071523175,8.673617379884035e-19
2008-06-01,-0.0014047322316617901,0.00383526111736414,-0.0029688238852259995,0.0023175564132105653,0.003640509018876579,0.007248923114235588,-0.0005941980394302418,0.012668693546799083,0.01207449550736884,1.734723475976807e-18
2008-07-01,0.0013796975336136277,0.0016076862622039568,0.00019792159234839645,-0.003318597297454781,-0.009094237800366134,0.0036566120209287475,-0.0005941980394302418,-0.005570917688726186,-0.006165115728156429,8.673617379884035e-19
2008-08-01,0.00809749732509284,0.00554819833085819,-0.00022026757858129524,-0.0006166559329899618,0.03620962138651243,-0.006193197054864594,-0.0005941980394302418,0.0428251964760276,0.04223099843659736,0.0
2008-09-01,0.0020011795912859304,-0.002451245977858871,-0.002253752325773713,0.002299982973583175,0.032821625587724376,0.014545988326891971,-0.0005941980394302418,0.04696377817585287,0.04636958013642263,0.0
