submuestra,inicio,fin,observaciones,r2,r2_ajustado,factor,grupo,coeficiente,p_valor_hac,shapley_r2,peso_entre_factores_pct,rango_peso,signo_coincide_muestra_completa,diferencia_peso_vs_completa_pp
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Riesgo soberano EMBIG Colombia,Riesgo local,0.010529320386295084,0.5125786310093546,0.08808276153917895,14.66392203817915,3,True,-3.3600623752592167
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Reservas internacionales,Sector externo Colombia,-0.29887035686098884,0.04267275533461104,0.02156348522135909,3.589865492770578,8,True,1.0104618054726222
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Balanza comercial cambiaria,Sector externo Colombia,0.051385967049345185,0.003907256327909993,0.04371892477729288,7.278278897308257,6,True,-0.2555054385829303
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Flujos netos de capital,Sector externo Colombia,-0.004785775569298128,0.4148229980360734,0.0367697732241884,6.121391728632353,7,False,1.890761791485235
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.000752685389453325,0.5882504222967614,0.001322944155864695,0.2202422996676342,12,True,-0.29202529297574675
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Monedas regionales,Regional,0.01397680969883304,0.010961211080143866,0.15606667778886316,25.981810241446333,1,True,-4.102040472118308
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Términos de intercambio,Sector externo Colombia,-0.11797952246846534,0.001546296078886562,0.037718931783505286,6.242329138636723,5,True,-0.39942617876157094
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Remesas,Sector externo Colombia,0.12757408661204192,0.49322456324249403,0.015247846169116229,2.5234562577020876,8,True,1.4436558037566973
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Diferencial de tasas,Política doméstica,-0.0002836968016009245,0.9601533600656803,0.0034528880149583157,0.5714388623712173,12,True,0.06089841610525737
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Déficit fiscal,Política doméstica,0.004168658279269627,0.2464234179615627,0.007244213670175267,1.1988877717799225,10,False,1.0750943532788748
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Dólar amplio,Global,0.08095174334832819,0.7094675606470683,0.0875980488363242,14.497119268309584,3,True,-5.763102566118318
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,VIX,Global,0.0032167435799184915,0.7301739641584322,0.04006195050204573,6.630089165963698,4,True,-1.7898786835150222
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Riesgo soberano EMBIG Colombia,Riesgo local,0.03176340099349469,0.034568394853150296,0.14442293495563888,23.9014058069181,2,True,5.877421393479732
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Reservas internacionales,Sector externo Colombia,-0.15712686290700084,0.5659962473211919,0.009369638822033287,1.5506369526312398,9,True,-1.0287667346667162
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Balanza comercial cambiaria,Sector externo Colombia,0.027537721695369836,0.12436455772836619,0.03720105103946772,6.156621990899886,6,True,-1.3771623449913015
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Flujos netos de capital,Sector externo Colombia,0.0030672833232744112,0.5610756987218902,0.01895289488354764,3.1366266858285226,7,True,-1.094003251318595
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.0006716067019222676,0.8252731080895774,0.005854018075706596,0.9688160794646288,11,True,0.4565484868212478
Segunda mitad,2016-05-01,2026-04-01,120,0.648979631492407,0.60592996365657,Monedas regionales,Regional,0.018267111071135506,0.0005351649956373498,0.19712010393519996,32.62257201949442,1,True,2.53872130592978
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Términos de intercambio,Sector externo Colombia,-0.08811715086009161,0.015304147177355199,0.04744897180069188,7.838683142920747,7,True,1.1969278255224527
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Remesas,Sector externo Colombia,0.010205828395106635,0.9351855042253762,0.0032995510205442486,0.5450936865942796,10,True,-0.5347067673511107
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Diferencial de tasas,Política doméstica,-0.007729091975396883,0.27274003500431976,0.003414782738345768,0.5641302408036039,9,True,0.0535897945376439
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Déficit fiscal,Política doméstica,-0.005189196180382215,0.2819379172397045,0.002253368450759619,0.3722618345441429,11,True,0.24846841604309522
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Dólar amplio,Global,0.36222676874747295,0.2095308522096082,0.13276605395579655,21.93326830066808,2,True,1.6730464662401765
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,VIX,Global,0.015043233179150564,0.2525548956356979,0.048596790960007304,8.028305601612594,4,True,-0.391662247866126
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Riesgo soberano EMBIG Colombia,Riesgo local,0.014125627939055755,0.2995464164327657,0.09360862935913204,15.464368502472901,3,True,-2.5596159109654657
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Reservas internacionales,Sector externo Colombia,-0.24689808121846313,0.06654119263186767,0.017956834342960686,2.9665117983090585,8,True,0.38710811101110254
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Balanza comercial cambiaria,Sector externo Colombia,0.04884875506824717,0.0011694245756624282,0.047696879335722864,7.879638058108648,5,True,0.34585372221746
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Flujos netos de capital,Sector externo Colombia,-0.007540804931763187,0.1530836117027441,0.04754021373578228,7.8537565278936565,6,False,3.623126590746539
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.0006895612914302406,0.6128349217429225,0.001777435748257949,0.29363661863988266,12,True,-0.2186309740034983
Prepandemia,2006-05-01,2019-12-01,164,0.6053181501990407,0.5739527051817459,Monedas regionales,Regional,0.013644753971795032,0.0004118554899563015,0.1589586387510403,26.26034568743256,1,True,-3.8235050261320787
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Términos de intercambio,Sector externo Colombia,-0.10665863099020302,0.0289417134964273,0.030567229231655668,4.996975048971675,6,True,-1.6447802684266195
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Remesas,Sector externo Colombia,0.181562210773903,0.46964906669013323,0.02325713089077698,3.8019573802759803,7,True,2.72215692633059
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Diferencial de tasas,Política doméstica,0.0005284937979371479,0.9345003088551231,0.005731665376202904,0.9369834817831616,11,False,0.42644303551720164
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Déficit fiscal,Política doméstica,0.005842159569522118,0.14507259758130786,0.010810814293430717,1.767296894132448,10,False,1.6435034756314004
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Dólar amplio,Global,-0.07119036815451815,0.7997145876067044,0.08291717875089807,13.55487833749332,3,False,-6.7053434969345815
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,VIX,Global,-0.0009454520844981084,0.938516218397379,0.049415218493339096,8.078148398055653,4,False,-0.341819451423067
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Riesgo soberano EMBIG Colombia,Riesgo local,0.03331151418856302,0.03489323565434925,0.14544221718232214,23.77615337063436,2,True,5.752168957195995
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Reservas internacionales,Sector externo Colombia,-0.322142017691722,0.40372946207590477,0.012254738968991624,2.0033423505816117,9,True,-0.5760613367163443
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Balanza comercial cambiaria,Sector externo Colombia,0.025397018839781495,0.24161448463647586,0.0308105979650093,5.03675973076444,5,True,-2.4970246051267475
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Flujos netos de capital,Sector externo Colombia,0.007454377369011267,0.23778320429916347,0.012723494218716982,2.0799720728636144,8,True,-2.1506578642835033
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Diferencial de compensación inflacionaria 5 años,Política doméstica,0.0002794374714841462,0.931037747531677,0.0037324908342604504,0.6101686033747424,12,False,0.09790101073136148
2020 en adelante,2020-01-01,2026-04-01,76,0.6715036174047602,0.6026253436347906,Monedas regionales,Regional,0.021157646437383392,0.0023847925298267135,0.20405188980910982,33.357364331068965,1,True,3.2735136175043245
