fecha,desviacion_cf_pct,prob_turbulento,regimen,es_turbulento,senal_cf_markov,senal_cf_pura,senal_condicional
2009-08-01,2.0150598501851746,0.9995663127856362,1,1.0,2.0141859444919716,2.0150598501851746,2.0150598501851746
2009-09-01,2.2537210902873195,0.999635701937924,1,1.0,2.252900064061668,2.2537210902873195,2.2537210902873195
2009-10-01,3.940092307817511,0.9999315734391077,1,1.0,3.9398227008512885,3.940092307817511,3.940092307817511
2009-11-01,5.193119069971496,0.9999848789850662,1,1.0,5.193040544740486,5.193119069971496,5.193119069971496
2009-12-01,5.113641617915854,0.999983540398941,1,1.0,5.113557449414865,5.113641617915854,5.113641617915854
2010-01-01,4.249256646648691,0.9999555845702927,1,1.0,4.249067914088793,4.249256646648691,4.249256646648691
2010-02-01,3.799684915178292,0.9999282907396564,1,1.0,3.7994124425834856,3.799684915178292,3.799684915178292
2010-03-01,4.366119256812484,0.9999609961368392,1,1.0,4.365948961294447,4.366119256812484,4.366119256812484
2010-04-01,5.3657631457212585,0.9999878663912195,1,1.0,5.3656980396504395,5.3657631457212585,5.3657631457212585
2010-05-01,5.573555492059468,0.9999904605267672,1,1.0,5.57350232327604,5.573555492059468,5.573555492059468
2010-06-01,4.2487199193899094,0.9999302912773463,1,1.0,4.248423746551415,4.2487199193899094,4.2487199193899094
2010-07-01,1.8376989447151049,0.9983436949586453,1,1.0,1.834655154688481,1.8376989447151049,1.8376989447151049
2010-08-01,-0.3266514517998753,0.9917556900017416,1,1.0,-0.32395843596985596,-0.3266514517998753,-0.3266514517998753
2010-09-01,-1.0259544934733245,0.9884525725655556,1,1.0,-1.014107358408899,-1.0259544934733245,-1.0259544934733245
2010-10-01,-0.005694343723350315,0.9928874515801149,1,1.0,-0.005653842427898517,-0.005694343723350315,-0.005694343723350315
2010-11-01,1.9614047962643766,0.9986292040410255,1,1.0,1.9587161104957442,1.9614047962643766,1.9614047962643766
2010-12-01,3.7214082112427826,0.9998851339963238,1,1.0,3.7209807479535097,3.7214082112427826,3.7214082112427826
2011-01-01,4.478232198447318,0.9999640915319585,1,1.0,4.4780713919895385,4.478232198447318,4.478232198447318
2011-02-01,4.074954022653099,0.9999161401600131,1,1.0,4.0746122976608055,4.074954022653099,4.074954022653099
2011-03-01,2.7814837179910623,0.9983945060170135,1,1.0,2.777018062618053,2.7814837179910623,2.7814837179910623
2011-04-01,0.9789001779763218,0.9794483998036658,1,1.0,0.9587822128864321,0.9789001779763218,0.9789001779763218
2011-05-01,-0.913952453880218,0.9259019198276897,1,1.0,-0.8462303316789218,-0.913952453880218,-0.913952453880218
2011-06-01,-2.32351639503936,0.8859407925557702,1,1.0,-2.058497956537497,-2.32351639503936,-2.32351639503936
2011-07-01,-2.555575084136208,0.8840464425666589,1,1.0,-2.2592470618426046,-2.555575084136208,-2.555575084136208
2011-08-01,-1.1791041459684848,0.9232790363540472,1,1.0,-1.0886421396508443,-1.1791041459684848,-1.1791041459684848
2011-09-01,1.4769161987752688,0.9850178937306692,1,1.0,1.4547888833343217,1.4769161987752688,1.4769161987752688
2011-10-01,4.216746813019412,0.9997064214557619,1,1.0,4.215508866628626,4.216746813019412,4.216746813019412
2011-11-01,5.537722654013602,0.9999844933935934,1,1.0,5.5376367827280175,5.537722654013602,5.537722654013602
2011-12-01,4.566107072367037,0.9988158962074788,1,1.0,4.5607003276655895,4.566107072367037,4.566107072367037
2012-01-01,1.6797906850369138,0.8981361577659721,1,1.0,1.508680751710124,1.6797906850369138,1.6797906850369138
2012-02-01,-1.7040837820744712,0.37652226381282433,0,0.0,-0.6416254833533995,-1.7040837820744712,0.0
2012-03-01,-4.062551709714381,0.08645269228025405,0,0.0,-0.35121853283255733,-4.062551709714381,0.0
2012-04-01,-4.730499876891969,0.01879169888847575,0,0.0,-0.08889412927852548,-4.730499876891969,0.0
2012-05-01,-4.183363241568271,0.005274016825022801,0,0.0,-0.022063128121212985,-4.183363241568271,0.0
2012-06-01,-3.486681997575282,0.0024158156204039096,0,0.0,-0.008423180833123472,-3.486681997575282,0.0
2012-07-01,-3.4228413718637705,0.0015975334956935061,0,0.0,-0.005468103741997885,-3.4228413718637705,0.0
2012-08-01,-4.013125803628522,0.0011436819134413698,0,0.0,-0.004589739397974802,-4.013125803628522,0.0
2012-09-01,-4.752348250447557,0.0008818827656880196,0,0.0,-0.004191014018617313,-4.752348250447557,0.0
2012-10-01,-5.238164806937287,0.0007671689910917322,0,0.0,-0.004018557610110296,-5.238164806937287,0.0
2012-11-01,-5.569095138059343,0.0007159931448225922,0,0.0,-0.003987433941715318,-5.569095138059343,0.0
2012-12-01,-6.155530100538156,0.0006859669339641797,0,0.0,-0.004222490109990378,-6.155530100538156,0.0
2013-01-01,-7.16692319833597,0.0007079771082650625,0,0.0,-0.005074017561115693,-7.16692319833597,0.0
2013-02-01,-8.189832226864748,0.000805289694165696,0,0.0,-0.006595187489240274,-8.189832226864748,0.0
2013-03-01,-8.477420704941446,0.0008461194056878884,0,0.0,-0.007172910168631257,-8.477420704941446,0.0
2013-04-01,-7.611980480413438,0.0007477881723358963,0,0.0,-0.005692148971304883,-7.611980480413438,0.0
2013-05-01,-5.989231526074623,0.0007169906957200819,0,0.0,-0.0042942232787088926,-5.989231526074623,0.0
2013-06-01,-4.648272378559387,0.0008301755504157908,0,0.0,-0.003858882080353056,-4.648272378559387,0.0
2013-07-01,-4.525168634158816,0.0008477155466164335,0,0.0,-0.0038360558022374805,-4.525168634158816,0.0
2013-08-01,-5.719846119330263,0.000728852361109842,0,0.0,-0.00416892334925883,-5.719846119330263,0.0
2013-09-01,-7.385238074756212,0.0007300590914720224,0,0.0,-0.005391660199161108,-7.385238074756212,0.0
2013-10-01,-8.349968881100834,0.0008229316798338785,0,0.0,-0.00687145391788492,-8.349968881100834,0.0
2013-11-01,-7.99170369952939,0.0008023234480753885,0,0.0,-0.006411931268203259,-7.99170369952939,0.0
2013-12-01,-6.686261936150467,0.0008407606715258708,0,0.0,-0.005621546075435736,-6.686261936150467,0.0
2014-01-01,-5.5160981333850225,0.0015470517845327834,0,0.0,-0.008533689460911254,-5.5160981333850225,0.0
2014-02-01,-5.511915628575531,0.00535385601631544,0,0.0,-0.02951000264947221,-5.511915628575531,0.0
2014-03-01,-7.02527046313211,0.02636827368948414,0,0.0,-0.1852442543145165,-7.02527046313211,0.0
2014-04-01,-9.644275878130298,0.14686729819430278,0,0.0,-1.4164287412614838,-9.644275878130298,0.0
2014-05-01,-12.574949840945132,0.5694978401230979,1,1.0,-7.161406774074546,-12.574949840945132,-12.574949840945132
2014-06-01,-15.06779117530801,0.945337386473637,1,1.0,-14.244146329596205,-15.06779117530801,-15.06779117530801
2014-07-01,-16.555071368538805,0.9977580824272809,1,1.0,-16.51795626312006,-16.555071368538805,-16.555071368538805
2014-08-01,-16.547873491447934,0.9991128009262814,1,1.0,-16.533192233414308,-16.547873491447934,-16.547873491447934
2014-09-01,-14.61860937834133,0.9867306145339891,1,1.0,-14.424629415523077,-14.61860937834133,-14.61860937834133
2014-10-01,-10.678670941889818,0.928133867229794,1,1.0,-9.911236158170624,-10.678670941889818,-10.678670941889818
2014-11-01,-5.363633251729405,0.912669478476407,1,1.0,-4.8952243625945915,-5.363633251729405,-5.363633251729405
2014-12-01,-0.0716441765729714,0.9613937779270195,1,1.0,-0.06887826558195943,-0.0716441765729714,-0.0716441765729714
2015-01-01,3.6165001046723546,0.9987190488725656,1,1.0,3.6118675447859077,3.6165001046723546,3.6165001046723546
2015-02-01,4.874605804024062,0.9999679855463771,1,1.0,4.87444974618262,4.874605804024062,4.874605804024062
2015-03-01,4.248193115173127,0.9999546727260872,1,1.0,4.248000556160161,4.248193115173127,4.248193115173127
2015-04-01,3.3960817159537307,0.9998908176119986,1,1.0,3.395710923642135,3.3960817159537307,3.3960817159537307
2015-05-01,4.0359024422532945,0.9999436091139755,1,1.0,4.0356748541386676,4.0359024422532945,4.0359024422532945
2015-06-01,6.8226175785656205,0.9999981153045726,1,1.0,6.822604720009467,6.8226175785656205,6.8226175785656205
2015-07-01,10.991272518289577,0.999999997301731,1,1.0,10.991272488632166,10.991272518289577,10.991272518289577
2015-08-01,15.020923252693228,0.9999999999990862,1,1.0,15.020923252679502,15.020923252693228,15.020923252693228
2015-09-01,17.773892371492813,0.9999999999999986,1,1.0,17.77389237149279,17.773892371492813,17.773892371492813
2015-10-01,19.198362297699713,1.0,1,1.0,19.198362297699713,19.198362297699713,19.198362297699713
2015-11-01,20.06741377474045,1.0,1,1.0,20.06741377474045,20.06741377474045,20.06741377474045
2015-12-01,21.045261314578916,1.0,1,1.0,21.045261314578916,21.045261314578916,21.045261314578916
2016-01-01,21.930501527433037,1.0,1,1.0,21.930501527433037,21.930501527433037,21.930501527433037
2016-02-01,21.753135349805895,1.0,1,1.0,21.753135349805895,21.753135349805895,21.753135349805895
2016-03-01,19.65020136600733,1.0,1,1.0,19.65020136600733,19.65020136600733,19.65020136600733
2016-04-01,15.76270366169238,0.9999999999998247,1,1.0,15.762703661689615,15.76270366169238,15.76270366169238
2016-05-01,11.36740815876708,0.9999999986282674,1,1.0,11.367408143174035,11.36740815876708,11.36740815876708
2016-06-01,8.097715361897514,0.9999996976170232,1,1.0,8.097712913286237,8.097715361897514,8.097715361897514
2016-07-01,6.86303568284266,0.9999982521415997,1,1.0,6.86302368722809,6.86303568284266,6.86303568284266
2016-08-01,7.307962775791918,0.9999990542380572,1,1.0,7.307955864198846,7.307962775791918,7.307962775791918
2016-09-01,8.188561290005776,0.9999997359199981,1,1.0,8.188559127570494,8.188561290005776,8.188561290005776
2016-10-01,8.304674947382978,0.999999778094916,1,1.0,8.304673104533386,8.304674947382978,8.304674947382978
2016-11-01,7.24046242170586,0.9999989565894828,1,1.0,7.24045486693122,7.24046242170586,7.24046242170586
