horizonte_meses,observaciones,beta,t_stat_hac,p_valor_hac,r2_pct,acierto_direccion_pct,sharpe_estrategia,senal
12,200,1.8043470732386595,0.9657494124256476,0.3341695874938262,2.4076334977713665,58.5,0.09580226527572523,z_global_breakeven_10y
18,194,2.937633544165654,1.5639080113070323,0.11783917284635188,4.424238601875463,62.88659793814433,0.16400015195051199,z_global_breakeven_10y
24,188,2.88714020650688,1.237985571948511,0.21572141068403883,3.617518936679953,51.06382978723404,0.13336671193635827,z_global_breakeven_10y
6,229,3.0434620819514224,1.1780692707198435,0.23876899153193032,2.550871878524519,57.64192139737992,0.2412340162514405,mom12_global_breakeven_10y
12,223,4.555587682169373,1.2524828531706587,0.21039397252597758,3.0681067292671726,54.7085201793722,0.0884087326774246,mom12_global_breakeven_10y
18,217,5.36548299742159,1.2450624870212543,0.21310878190950977,3.285178599708438,54.377880184331794,0.019596452785591422,mom12_global_breakeven_10y
24,211,5.441869885573475,1.2859453056129666,0.19846215057703787,2.8558300977749584,54.976303317535546,0.04846835084531177,mom12_global_breakeven_10y
6,206,-2.367638025556378,-2.4316471640270216,0.015030341042278787,9.234221776610163,40.77669902912621,-0.30952514790976626,z_global_epu
12,200,-3.7840339727009984,-1.9961127828743095,0.04592164794538939,11.401601446634512,43.5,-0.2619439220852263,z_global_epu
18,194,-3.9938272360529576,-1.324544947075863,0.18532212587113184,7.652381506528638,46.90721649484536,-0.16841864081616784,z_global_epu
24,188,-2.1200147146091406,-0.5998636344613131,0.5485971199228199,1.7836070266328496,54.25531914893617,-0.019331961998058002,z_global_epu
6,229,-0.02094421097967253,-2.297731045883765,0.02157710142802883,2.6513243058830627,43.23144104803494,-0.16875088386254167,mom12_global_epu
12,223,-0.052051790345390946,-3.435666788620446,0.0005910974920111808,8.367133734375043,40.35874439461883,-0.20518942476019372,mom12_global_epu
18,217,-0.07423090190105372,-2.652376138726377,0.007992744709233673,8.221004808350752,40.55299539170507,-0.22225492255635868,mom12_global_epu
24,211,-0.040520776257026984,-0.9984916544176513,0.31804100931862056,2.027610143439229,47.867298578199055,-0.13584640394826972,mom12_global_epu
6,206,-2.3428891093954656,-1.9555763480769246,0.0505150813645791,5.00599673110993,42.23300970873786,-0.2537100043922925,z_global_stress
12,200,-5.085891333540663,-2.4483295673176193,0.014352031170056886,11.408990724406731,36.5,-0.3381534884441075,z_global_stress
18,194,-7.277155780450494,-2.0906955549410577,0.03655536371761019,15.806576762370028,30.927835051546392,-0.35928318283876787,z_global_stress
24,188,-7.329230834080719,-1.8883766903775767,0.058975398340918396,13.573449443370421,39.361702127659576,-0.31267496358324076,z_global_stress
6,229,-0.0062758560596175295,-0.007827365397676258,0.9937547297696675,0.00010058776074295395,44.10480349344978,-0.036145554011257665,mom12_global_stress
12,223,-0.2527462806420676,-0.2326150925700168,0.8160603065929872,0.08780382846721446,43.946188340807176,-0.11069560769589368,mom12_global_stress
18,217,-1.1321844721747034,-0.8249578945149938,0.4093954957875181,1.3592483147616408,43.31797235023041,-0.11533043459001613,mom12_global_stress
24,211,-1.6989716680479154,-1.1149336371885643,0.2648788609687861,2.5922770139005458,49.28909952606635,-0.12239608319195727,mom12_global_stress
6,206,-2.6125629594528674,-2.1079940938663744,0.035031500309874695,7.825576061903716,41.262135922330096,-0.3013991562521963,z_global_nfci
12,200,-5.867598463058348,-2.844987447653065,0.004441317322148374,18.951786930227332,34.0,-0.38703848959756304,z_global_nfci
18,194,-8.187089011940044,-2.611640625132509,0.009010892034629134,25.511104282490837,35.56701030927835,-0.37600384966627465,z_global_nfci
24,188,-9.135419666299837,-2.55009009643951,0.010769508365564024,26.843689145891492,31.914893617021278,-0.3784960551829621,z_global_nfci
6,229,0.42088563114562816,0.1961321925663548,0.8445066995488573,0.08896836931093777,44.97816593886463,-0.03385582696365405,mom12_global_nfci
12,223,-0.09753513370679531,-0.0345356445358412,0.9724500190626822,0.0025708331420348784,43.04932735426009,-0.13237602479225682,mom12_global_nfci
18,217,-2.4356941397150584,-0.6757274146925389,0.4992137268700727,1.238356418917308,42.3963133640553,-0.19881048911157376,mom12_global_nfci
24,211,-3.9524376729199107,-0.9058884803152708,0.36499488223336873,2.7597570105587277,44.07582938388626,-0.23424835654607742,mom12_global_nfci
6,206,-2.246250264239521,-1.6299488554718886,0.10311230680946558,5.785523511787771,40.29126213592233,-0.3650419627029149,z_global_anfci
12,200,-5.582955413581521,-2.7921826272992005,0.005235379812502584,17.12921923505757,33.0,-0.3874516716585768,z_global_anfci
18,194,-7.784443122769474,-2.6759704538588647,0.007451321371548619,23.026707965865256,36.597938144329895,-0.3671094799761615,z_global_anfci
24,188,-8.899641558258509,-2.6845110730322825,0.0072635977181082995,25.337250363369947,32.4468085106383,-0.37023316383655913,z_global_anfci
6,229,0.5313689212485236,0.30823608987858364,0.7579026926968581,0.21119663094465446,44.97816593886463,-0.032445903357604,mom12_global_anfci
12,223,0.2931353347698801,0.13132984044433862,0.8955143869578785,0.03459376486337762,43.04932735426009,-0.14671806476912994,mom12_global_anfci
18,217,-1.607366326132462,-0.5660094238424394,0.5713873742873047,0.8035451277634276,41.474654377880185,-0.21995272565032167,mom12_global_anfci
24,211,-3.01201210065385,-0.8373032874109498,0.40242211188240284,2.3872934713280447,43.127962085308056,-0.2635996624963725,mom12_global_anfci
6,206,0.9915739351390489,0.6963026787932406,0.4862392959322094,1.7932764157012393,62.13592233009708,0.317146130017533,z_global_brent
12,200,0.9985134309396493,0.5532107181465841,0.5801191285141268,0.8653282507157134,63.5,0.22757532899851438,z_global_brent
18,194,1.6315212349417374,0.9756171399522909,0.3292542275331444,1.6011938968093942,60.824742268041234,0.20346530209892738,z_global_brent
