fecha,ln_trm,permanente_bn,transitorio_bn,transitorio_bn_pct
2016-10-01,7.982549048735119,8.156267308700745,-0.17371825996562576,-17.371825996562578
2016-11-01,8.042461174276264,8.218405306997958,-0.1759441327216936,-17.59441327216936
2016-12-01,8.009650131128101,8.145755259276228,-0.1361051281481268,-13.610512814812681
2017-01-01,7.986640718128021,8.140456792477401,-0.1538160743493813,-15.38160743493813
2017-02-01,7.96539514018854,8.119720391268029,-0.15432525107948916,-15.432525107948916
2017-03-01,7.986942153071372,8.1552519546978,-0.16830980162642753,-16.830980162642753
2017-04-01,7.964788921200366,8.108287235051804,-0.14349831385143855,-14.349831385143855
2017-05-01,7.980575426068178,8.140404061628889,-0.15982863556071158,-15.982863556071159
2017-06-01,7.99196377372409,8.157347522987893,-0.165383749263802,-16.5383749263802
2017-07-01,8.018488435890722,8.199933691026454,-0.18144525513573126,-18.144525513573125
2017-08-01,7.997395720291519,8.15068702022194,-0.1532912999304201,-15.32912999304201
2017-09-01,7.978340108970085,8.128834044555752,-0.15049393558566712,-15.049393558566711
2017-10-01,7.990832794288982,8.154330068603958,-0.16349727431497507,-16.349727431497506
2017-11-01,8.010846411526819,8.174002778172634,-0.16315636664581473,-16.315636664581472
2017-12-01,8.003617768911322,8.153152295801599,-0.14953452689027674,-14.953452689027674
2018-01-01,7.961569713916227,8.106178727257067,-0.1446090133408395,-14.46090133408395
2018-02-01,7.958665311494236,8.128414334988156,-0.1697490234939194,-16.97490234939194
2018-03-01,7.954347920115016,8.119174377733168,-0.16482645761815362,-16.482645761815363
2018-04-01,7.925260543793125,8.073999263423325,-0.1487387196302005,-14.873871963020049
2018-05-01,7.9592150939914195,8.124217953348504,-0.1650028593570845,-16.50028593570845
2018-06-01,7.968904162859094,8.134994556922278,-0.16609039406318424,-16.609039406318423
2018-07-01,7.967391762139049,8.135062781853096,-0.16767101971404752,-16.767101971404752
2018-08-01,7.992494031727394,8.161551699275154,-0.1690576675477605,-16.90576675477605
2018-09-01,8.017560690274136,8.182730748633166,-0.1651700583590288,-16.51700583590288
2018-10-01,8.034252143182595,8.194806066264967,-0.16055392308237226,-16.055392308237227
2018-11-01,8.06904007803883,8.232671616652302,-0.163631538613472,-16.3631538613472
2018-12-01,8.076686527235527,8.229483542541798,-0.15279701530627146,-15.279701530627147
2019-01-01,8.059967752881262,8.213478804104206,-0.1535110512229438,-15.351105122294381
2019-02-01,8.044253599303513,8.199035788368958,-0.15478218906544589,-15.478218906544589
2019-03-01,8.048367809699664,8.205264691761874,-0.15689688206220942,-15.689688206220943
2019-04-01,8.056986217849909,8.216868272106348,-0.1598820542564387,-15.98820542564387
2019-05-01,8.103038795393026,8.275418622932738,-0.17237982753971173,-17.237982753971174
2019-06-01,8.089641050743909,8.245452369692314,-0.15581131894840466,-15.581131894840466
2019-07-01,8.072966565353699,8.238744824510336,-0.16577825915663763,-16.577825915663762
2019-08-01,8.13468133987826,8.321401901871802,-0.18672056199354284,-18.672056199354284
2019-09-01,8.131370991967557,8.285655958195468,-0.15428496622791035,-15.428496622791036
2019-10-01,8.14128055919074,8.295699871518341,-0.15441931232760014,-15.441931232760014
2019-11-01,8.131963852079057,8.282112026393545,-0.15014817431448754,-15.014817431448755
2019-12-01,8.125054089902275,8.288131065248129,-0.16307697534585455,-16.307697534585454
2020-01-01,8.105062725534063,8.261138039963209,-0.15607531442914618,-15.607531442914619
2020-02-01,8.134776249499467,8.300752689789407,-0.16597644028993944,-16.597644028993944
2020-03-01,8.26282941814419,8.453447311864608,-0.1906178937204181,-19.061789372041808
2020-04-01,8.288381942337157,8.45420996375047,-0.16582802141331324,-16.582802141331324
2020-05-01,8.257953858614721,8.41202504999211,-0.15407119137738778,-15.407119137738778
2020-06-01,8.216521608257043,8.369606608077133,-0.15308499982009022,-15.308499982009021
