fecha,hp_standard,hp_expanding,ma_60m,ema_60m,bk_trend,cf_trend,hamilton,butterworth
2010-12-01,7.533167051543072,,7.640348701509824,7.60996725453559,7.575841472789178,7.447962472519793,7.53439955682325,7.7226837620232205
2011-01-01,7.529590613528487,7.53858063473658,7.637064713195973,7.6070308969552825,7.538772537399736,7.40993942965038,7.567397811063793,7.7046144745222005
2011-02-01,7.526163571388992,7.535199733510635,7.634048719341701,7.604525447022345,7.550408209057599,7.420840480916454,7.53185711586706,7.687367924709876
2011-03-01,7.522900715316696,7.532232686016402,7.6309824395293395,7.602114403657075,7.562447616150325,7.4321893295670005,7.552753894191657,7.670973290081008
2011-04-01,7.519817816343134,7.524957528686168,7.626735177547583,7.598353502815757,7.540585886985751,7.409923517179038,7.545948435395357,7.655400388690862
2011-05-01,7.516931832389744,7.517750626235441,7.621816177129806,7.594557069027524,7.553005173485365,7.422396031381468,7.497071378236106,7.640482105207171
2011-06-01,7.514258413919004,7.510072106342914,7.615905326835422,7.590559638083572,7.555809875056377,7.425519001505571,7.493592020432205,7.626130007025809
2011-07-01,7.511811745607843,7.501662224557138,7.609979724803398,7.5862784443346944,7.544152547584112,7.4143817735364355,7.481882359938454,7.612318978851439
2011-08-01,7.509604059602804,7.495693619956879,7.605127459963426,7.5826649019211185,7.542097419288041,7.4128400227240165,7.475641004316813,7.599063145391632
2011-09-01,7.507644960449118,7.493584381552406,7.600647423496802,7.580158547507275,7.5404628838235475,7.411385951540899,7.497669472247898,7.586526542861363
2011-10-01,7.505942516810832,7.496704763837415,7.597087891905724,7.579194504665765,7.551776577858065,7.422419813500108,7.523347003154848,7.575008496183525
2011-11-01,7.504505230592794,7.500643243892981,7.594143035997328,7.578493073656654,7.543664127529531,7.414120998715265,7.566965866132931,7.564772075315794
2011-12-01,7.503344913658501,7.505439739400546,7.591536002520028,7.578079033317201,7.558412648705898,7.429750235109397,7.5674745966652335,7.555896613333256
2012-01-01,7.50247721827142,7.505009106339286,7.588405656755166,7.576161095653706,7.541374130863959,7.415026617447527,7.5729780726559275,7.5482300020810795
2012-02-01,7.501922217895172,7.500082022029055,7.584693134737845,7.572927879019188,7.5321510033418555,7.408776800155851,7.517144522574762,7.541387714476003
2012-03-01,7.501701530182354,7.494519731620377,7.581012390966914,7.569489375481646,7.543680776389641,7.421816391183572,7.485870271484277,7.534996689444105
2012-04-01,7.501835661180355,7.490034102375529,7.57785045751263,7.5663426574862,7.553818619952496,7.431678121617304,7.476736928861591,7.5289252521611445
2012-05-01,7.502343377951125,7.487315356639524,7.575953802024622,7.563695392128892,7.557448750074155,7.435583941701642,7.48255606146828,7.523217768730312
2012-06-01,7.5032420098380435,7.484911764398712,7.574778352609587,7.561134660050152,7.546454768456796,7.426919785150107,7.492295646812193,7.517947151980196
2012-07-01,7.504548153993348,7.482258687292513,7.573278068903862,7.5584987187050325,7.536486867416301,7.4201112391685085,7.491539698810745,7.513119721637851
2012-08-01,7.50627758469405,7.481425774241027,7.571112166795907,7.556388418595009,7.552078821578307,7.436817070802293,7.4918126373333305,7.508728634593965
2012-09-01,7.508444823747584,7.480641454679647,7.568462626309586,7.554303344965562,7.558871699489543,7.441379987368971,7.513653847185415,7.504803941510749
2012-10-01,7.511063860191925,7.480191622024477,7.56673826906301,7.552328468208611,7.566549434809553,7.445865447713698,7.505483799310877,7.501346815230988
2012-11-01,7.514147892905196,7.481045740707665,7.5647938051736645,7.550747807964218,7.578522532595467,7.457049268688226,7.499226029651046,7.498352293458455
2012-12-01,7.517709212437858,7.48008761606675,7.562853268339567,7.548674758202558,7.565758170443308,7.445838601455893,7.509225841995361,7.495796078057954
2013-01-01,7.521759623277296,7.477781053747471,7.56095478192717,7.5462319398269315,7.560664504335314,7.441848539902785,7.490497341123879,7.493554087106692
2013-02-01,7.526309100360943,7.477180864006244,7.559919535905403,7.544286718063783,7.582650868611797,7.46251459665471,7.480998733551947,7.4915302262847785
2013-03-01,7.53136461794585,7.478315542254928,7.559648428401343,7.542859499991735,7.600161554012273,7.476974531560365,7.4983504203185785,7.489775091929925
2013-04-01,7.536930648054145,7.480602812540823,7.55997142787821,7.541797700493651,7.601229743409198,7.476076560819663,7.509890169550055,7.488388255596517
2013-05-01,7.543009703435376,7.484025175871404,7.5606409779018495,7.54110704282905,7.592850882681473,7.468177956037806,7.517160379544446,7.487436686037088
2013-06-01,7.549602579269746,7.4913218108282935,7.562267348567226,7.541578805700712,7.609651765365578,7.486441214730049,7.526188628408653,7.487026390263489
2013-07-01,7.556708598998297,7.497701982207944,7.563358433235069,7.541883366501849,7.602602014647954,7.479561137520479,7.567749664096271,7.487268609604173
2013-08-01,7.564327445579821,7.503756742290271,7.563844093104626,7.542187104725397,7.615585210492945,7.49051308950538,7.5557361028453975,7.488133644578354
2013-09-01,7.572458365314866,7.510548535743772,7.562616864455498,7.5427927181475605,7.643095377555149,7.5149873009013755,7.55668526920413,7.489540563782107
2013-10-01,7.5810996592662745,7.514712695777994,7.559382605073888,7.542757067833108,7.635341034898597,7.505270791542904,7.562473346803502,7.491401550988725
2013-11-01,7.590248751279834,7.52091462959209,7.556145935022184,7.543381268001543,7.650049168606889,7.519638336324684,7.541161236760091,7.493615231441929
2013-12-01,7.599900332776904,7.527382493960002,7.5536034226666775,7.544181911203318,7.6415973499061645,7.511106507331064,7.570995767408649,7.496177346330534
2014-01-01,7.610047063534261,7.534890221062084,7.551254624286951,7.545381068220106,7.642242664666476,7.510623620060022,7.568277271393404,7.4991244226266405
2014-02-01,7.620679305096068,7.546760438811082,7.547771195428035,7.5479233884790755,7.683665106866223,7.549942853749131,7.584814008338906,7.502555719837601
2014-03-01,7.631785284811734,7.556643144700886,7.544419282641044,7.550060803090494,7.690375775864893,7.554531246699886,7.634019436563884,7.506585241308357
