fecha,desviacion,r_forward,prob_regimen_1,prob_regimen_2,regimen_mas_probable
2013-10-01,-0.01762985757872393,8.31432605219904,0.6174984319410184,0.38250156805898206,0
2013-11-01,0.004847134282981891,10.226600148941767,0.2503362409923463,0.749663759007654,1
2013-12-01,0.013202360491165521,19.20630166203683,0.0019484811450377676,0.9980515188549626,1
2014-01-01,0.028060034840012626,20.276623097088553,1.4262454742388002e-05,0.999985737545258,1
2014-02-01,0.07219464764864103,17.183483003105415,4.073275814642923e-05,0.9999592672418538,1
2014-03-01,0.0662915302533289,24.69101027459253,2.0950173135640705e-07,0.9999997904982688,1
2014-04-01,0.028561586441955278,25.65453049342672,1.1481757949251824e-07,0.9999998851824208,1
2014-05-01,0.019140125441823308,24.108124915648954,4.371153611990746e-07,0.9999995628846392,1
2014-06-01,0.0059414146836118675,30.59655184364347,1.332592900108131e-09,0.9999999986674073,1
2014-07-01,-0.00812257829526164,38.57379255889164,1.680336283921023e-13,0.9999999999998321,1
2014-08-01,0.01445245777880011,46.19326754773381,3.2887798170789968e-18,1.0000000000000002,1
2014-09-01,0.053540622747604516,44.058844588416065,5.361327225003714e-17,1.0000000000000002,1
2014-10-01,0.08952045195616165,35.76815610694668,2.3420199450102633e-12,0.9999999999976581,1
2014-11-01,0.12665044332150277,34.35671694270921,9.178130027917629e-12,0.9999999999908219,1
2014-12-01,0.21977683289397287,32.5755763002844,3.444277049219547e-11,0.9999999999655574,1
2015-01-01,0.23983059707532206,31.05240543643104,1.57891790317191e-10,0.9999999998421086,1
2015-02-01,0.24596150764900315,32.63935286899553,2.6541536761624333e-11,0.9999999999734589,1
2015-03-01,0.3067269115749891,19.078040238002636,4.160859179090434e-06,0.9999958391408212,1
2015-04-01,0.2709654136773869,17.946660319452867,1.0454327921103464e-05,0.9999895456720792,1
2015-05-01,0.2401304078354265,20.545872421819933,7.69963908672326e-06,0.9999923003609137,1
2015-06-01,0.2853661852224132,15.525437748207782,0.005635537479814914,0.9943644625201854,1
2015-07-01,0.3431593972418048,8.04798922390031,0.2650209629119489,0.7349790370880513,1
2015-08-01,0.43252327759755094,-2.005669690344991,0.7389822678017417,0.2610177321982585,0
2015-09-01,0.4414054966949603,-4.746356295865706,0.8909330980066216,0.10906690199337853,0
2015-10-01,0.38768318778140376,-0.0028520351502692165,0.940726318901419,0.05927368109858117,0
2015-11-01,0.40398375741250536,3.5634934054588285,0.9555293898260877,0.044470610173912496,0
2015-12-01,0.47305990296170464,-7.4974431652954365,0.9631198250739921,0.036880174926008195,0
2016-01-01,0.47169902330819546,-10.596422633413916,0.9598911196557777,0.04010888034422236,0
2016-02-01,0.48765650493219237,-15.279906160914525,0.956151236262267,0.04384876373773308,0
2016-03-01,0.40939013135320046,-6.1459164948953315,0.9831229141830035,0.016877085816996523,0
2016-04-01,0.35818810703429804,-4.082069260876153,0.9935922345909609,0.0064077654090390805,0
2016-05-01,0.34830689816128224,-2.362592606272962,0.9969981380242579,0.0030018619757421886,0
2016-06-01,0.33945912632272535,-1.2020511719517124,0.9979109725812492,0.0020890274187507427,0
2016-07-01,0.32010192783026437,2.5206216732279074,0.9978203234620483,0.002179676537951628,0
2016-08-01,0.3089340992051346,0.6897820944121946,0.9982313309010116,0.0017686690989883276,0
2016-09-01,0.2914528443504114,-0.2458451056716271,0.998472845612377,0.0015271543876229001,0
2016-10-01,0.2860542809347004,0.8283745553863575,0.9984925571482572,0.0015074428517427064,0
2016-11-01,0.3379221700734245,-3.161476274944519,0.998628405330932,0.0013715946690679244,0
