fecha,diferencial_nominal,diferencial_real,vol_trm_12m_anual,carry_sharpe,carry_zscore,diferencial_zscore,carry_momentum_6m,carry_neto_embig
2008-10-01,9.03,3.0831727267639204,17.699097674570872,0.5101955006991021,,,1.5599999999999987,3.686521739130434
2008-11-01,9.61,2.3380525286751555,17.68104129859899,0.5435200245113095,,,1.8399999999999999,4.113999999999999
2008-12-01,9.678709677419354,2.9281915039414876,18.116457519908824,0.534249572069102,,1.8913124057171908,1.928709677419354,4.31610098176718
2009-01-01,9.35,3.627726666005949,17.947665081151868,0.5209591307684421,,1.6788151138015086,1.5777419354838695,4.320454545454545
2009-02-01,8.797857142857142,4.190084627385227,19.46470074990349,0.45199036224077394,,1.426265725663681,0.7978571428571417,4.020357142857142
2009-03-01,7.594193548387097,3.8338032200682775,19.02716501738619,0.39912375498125213,,0.9894328231392365,-0.5958064516129022,2.7601026392961883
2009-04-01,6.85,3.751047618207477,19.4340959594098,0.352473303327665,,0.7215022824621771,-2.1799999999999997,2.674545454545454
2009-05-01,5.916774193548387,3.307585955727033,21.10454179411026,0.2803554917832714,,0.3955346827499055,-3.693225806451612,2.6920122887864824
2009-06-01,4.656666666666666,1.895106868363107,22.322072054865824,0.2086126527690154,,-0.04120126841688559,-5.022043010752688,1.6812121212121207
2009-07-01,4.34,1.4427624452285217,22.540006853081533,0.19254652530891583,,-0.15065684840187737,-5.01,1.3639130434782607
2009-08-01,4.34,1.0745659056044454,22.514246849191874,0.19276683022402677,,-0.14893596622318794,-4.457857142857142,1.7285714285714282
2009-09-01,4.3,0.8621386558936077,19.492099979875857,0.22060219291094496,,-0.1614857937039134,-3.2941935483870974,1.7968181818181819
2009-10-01,3.88,0.9089666670844672,15.91094272153758,0.24385732938048374,,-0.3104976056331906,-2.9699999999999998,1.6963636363636363
2009-11-01,3.763333333333333,1.856854393022101,16.487390206772865,0.22825524756412882,,-0.3491788553678997,-2.153440860215054,1.63
2009-12-01,3.38,1.5641571476862008,16.63065768005392,0.20323910605494716,-1.3271814214090758,-0.48506036181938794,-1.2766666666666664,1.298695652173913
2010-01-01,3.39,0.9619590573004131,16.610610314943496,0.2040864204098651,-1.273863544647281,-0.47534174058679973,-0.9499999999999997,1.2928571428571427
