fecha,z_yield_real_10y_tips,mom12_yield_real_10y_tips,z_epu_global,z_commodities_index,mom12_commodities_index,z_us_manufacturing_emp,mom12_us_manufacturing_emp,z_yield_2y_us,mom12_yield_2y_us,score_academico
2008-07-01,,-40.489598896678544,,,54.93047576717445,,-3.3282904689863835,,-46.60393460294646,
2008-08-01,,-31.254670199035385,,,43.20577790807645,,-3.4223283409304694,,-43.88008832565284,
2008-09-01,,-18.046164607134518,,,25.16242044849244,,-3.7507254788160194,,-48.24505504117155,
2008-10-01,,24.97420020639831,,,-3.2996559799708836,,-4.4925850537947065,,-59.36533394432353,
2008-11-01,,63.367269984917066,,,-22.515877419810003,,-5.272343829539672,,-63.651198028539554,
2008-12-01,0.10788798340764644,21.296813862493003,1.683047959804831,-1.191157858001591,-31.083879221100585,-2.6748920503518607,-6.528859451197322,-2.1620268213649085,-73.66348761921428,0.20501674496228994
2009-01-01,-0.47218272795244687,30.15235008103727,1.6339771042019418,-1.0646871994966927,-32.32268444783932,-2.969865089640462,-8.493110738499677,-2.0155152588779948,-67.40334679746105,0.05274157921704814
2009-02-01,-0.8218949084987941,24.705000936504963,1.5919751779530646,-1.1537605806904279,-37.4769527319379,-2.9361551678743063,-9.634769905040175,-1.7867822617200007,-50.56953077066716,0.03426464710617444
2009-03-01,-0.8998320178813625,56.65361219898344,1.142950377766344,-1.120367008357183,-41.044277577789025,-2.8812004091053405,-10.652014652014651,-1.7208750840304547,-42.40175409006578,-0.08934742894707254
2009-04-01,-1.1900321550285922,15.073803962692844,0.3411092934579498,-1.022688407981856,-42.11727787308293,-2.8301917483571,-11.568180145706087,-1.6411647501456739,-54.713270743466126,-0.3668498009336151
2009-05-01,-0.8282222254955197,17.602739726027394,0.36393155487580364,-0.6978812837091233,-41.246459489492935,-2.763653148114303,-12.578384360014748,-1.5681428747518975,-61.9947429906542,-0.3336380654156226
2009-06-01,-0.48492218874063625,14.350079744816568,0.7081030140827566,-0.38277198814817526,-39.508231356012594,-2.669140472724621,-13.198458574181116,-1.3566439441691915,-57.31174404994148,-0.18767278266972398
2009-07-01,-0.568441066435161,16.16454229432216,0.39466324951463677,-0.5246230232011759,-42.06803034050468,-2.5057327609575215,-13.152992026231459,-1.408906295607744,-60.39568980745451,-0.2645152723317731
2009-08-01,-0.6723445570891923,5.823863636363624,0.30434404940076504,-0.2872554061958112,-31.7089605034666,-2.359709881277386,-13.005693736889423,-1.306465154366428,-53.92484753098563,-0.34680256396476106
2009-09-01,-0.96357975355078,-11.248391248391265,0.42841305527476586,-0.4165207156373475,-27.754341252001,-2.2322793709383744,-12.715760910529884,-1.3593520968440072,-53.94495412844038,-0.3694995198706684
2009-10-01,-1.2995635618501884,-46.10514726121663,0.015042534237230738,-0.13817659117729647,-6.095471625609495,-2.1490730832421256,-12.262140356218598,-1.322097352875063,-41.13603716084686,-0.617110447327681
2009-11-01,-1.7115319783029834,-55.847784492969296,0.3737381296210175,0.04302361940588571,14.988230807793324,-2.0557731415104388,-11.73038538307999,-1.3665943078728762,-33.775345372133955,-0.686852943990182
2009-12-01,-1.45611894209243,-37.11772098868873,0.29215651305654056,0.13867329692720257,31.66756211464832,-1.9806705424476598,-10.722628874007167,-1.2863868687498332,6.533776301218164,-0.6472556486782314
2010-01-01,-1.3891848849297548,-28.09953754679586,0.7501772888845556,0.3541286514028529,33.851608810361846,-1.9021715572847377,-8.803377947737411,-1.2215145203274551,15.111198069523235,-0.5536626919438767
2010-02-01,-1.256042984346064,-19.014719134875325,0.5976939623181315,0.22584560644130305,35.31717203045521,-1.82491110416243,-7.533748282273056,-1.2318679086013897,-12.142471667566113,-0.5290156342676563
2010-03-01,-1.0350395771685332,-11.750693802035162,0.5956834736450967,0.41316107847535116,40.24496149781014,-1.7499315636391553,-6.206953099376844,-1.1449093226190978,2.9346234642561475,-0.4993566261544714
2010-04-01,-1.0303590230788757,-4.255495415884236,0.4604212808301474,0.708209322262698,45.10544591128567,-1.6510747046782859,-4.510277107431138,-1.0626675328953492,14.378764532847764,-0.5852036493516939
2010-05-01,-1.41979733802077,-23.878858474082698,1.523936709214922,0.3555846166099837,25.66521565974309,-1.562229909215882,-2.8607594936708836,-1.1703451819127257,-10.650887573964496,-0.35544760683213933
2010-06-01,-1.484003200770847,-32.51159384915792,1.2146981863477497,0.24509012914806996,14.283436486629997,-1.4974967866447764,-1.570904123623329,-1.2038596157738524,-38.80998080614204,-0.4295636898362549
2010-07-01,-1.4737963554615843,-31.917824486403045,1.4913067927779338,0.246183218895288,18.465132402070793,-1.4391478156416349,-0.9267204393341388,-1.2369852361508251,-39.488551888195076,-0.3664145044324409
2010-08-01,-1.865282447198995,-42.3941427699817,0.7522570637763875,0.39775949865727683,15.360555340049121,-1.4073771164873317,-0.6372717878057155,-1.2622126831129965,-53.33242760655228,-0.6932493912982203
2010-09-01,-2.006388149891714,-44.63457076566125,1.0320536729270966,0.5036310291680691,21.23419734273164,-1.3615363299805763,-0.26770293609671425,-1.2559504174178786,-49.800796812749006,-0.6834789808876414
2010-10-01,-2.5950551805330293,-64.6067415730337,0.8342543572583173,0.8105955752401818,20.190492106321713,-1.3293892425909282,0.18218096642665937,-1.284870862852142,-60.38133467134972,-0.964066815341759
2010-11-01,-2.203029902502672,-47.77548493602971,0.9338130625575599,0.9941537748445253,19.451983987273525,-1.278671072849777,0.6348930248738949,-1.2141567825536874,-43.47313237221494,-0.8693818493358312
2010-12-01,-1.4584656274033772,-23.48434377081946,1.0041528987389392,1.334399477263911,23.919370389550497,-1.244006678062663,0.9943305713039585,-1.100364303519889,-29.31392931392931,-0.7222691273620594
2011-01-01,-1.3772389406516303,-22.85796324655437,0.41511064156503985,1.5306228940533553,23.321231976933078,-1.1792652928749656,1.389010221018605,-1.0661993121909952,-33.84985835694051,-0.8897376263327352
2011-02-01,-1.0226914166052286,-12.759643916913966,-0.12582596013773137,1.7094250159367586,30.862918057110456,-1.113830843060742,1.730920535011804,-0.9452777159747582,-9.828009828009831,-0.9508050271636191
2011-03-01,-1.458431913341767,-36.091092533871425,0.8393273213169151,1.8619110976009778,30.561220230308006,-1.0587471841290137,1.9232450389019995,-0.9563607836021355,-27.256235827664412,-0.8593441183069912
2011-04-01,-1.5735419892045315,-42.468201090248336,0.4672928165732123,2.108961721477436,30.104354519825694,-0.9985521175048278,1.8649237472766922,-0.9055421797456745,-30.737248178311194,-1.0301882684636074
2011-05-01,-1.6548864095339353,-40.43064815826865,-0.2951265812834237,1.7488980011308597,33.081525915220155,-0.959514792050369,1.6158457127964487,-0.9788035782545031,-33.14411857458216,-1.1694286425506804
2011-06-01,-1.6327716876758374,-39.89150090415913,0.6321294893279025,1.6062880643389406,34.26407762681634,-0.9171793176875533,1.5699540289704217,-1.0339835047087862,-43.350062735257225,-0.9102284418489155
2011-07-01,-1.785954446892226,-49.756331542594,1.4435397676959438,1.6418081060873515,36.34712069562025,-0.8703215528797149,1.5849644898666249,-1.008369368131489,-34.08108108108107,-0.7481480383537806
2011-08-01,-2.446091645087851,-86.76698127804426,3.0300318622207447,1.4192251403064426,29.313028723972433,-0.8242467689208632,1.8200728029121205,-1.0847966870990913,-55.72432124549079,-0.4800204025681601
2011-09-01,-2.3806970344692373,-91.46149816657936,2.3035576847694266,1.2857805972467427,25.129361167296448,-0.7927693493356543,1.7577279418131475,-1.0665574976150645,-55.952380952380956,-0.6073693611404045
2011-10-01,-2.0990656193769754,-64.57142857142857,1.4817060815975014,1.046857110765615,14.889951244206046,-0.7560484130364363,1.8531347419466604,-0.9961398996107111,-25.39893617021276,-0.66508913703895
2011-11-01,-2.243899083237991,-99.77477477477478,2.078754216847938,1.078934553529145,12.563759928544393,-0.7379473840598386,1.5728977616454864,-0.9870205187239594,-44.162995594713664,-0.5577749846607893
2011-12-01,-2.1657728008713715,-103.01013744635861,1.6266182174436614,0.9285553194856236,4.374322428104138,-0.6822415217193192,1.761810173590117,-0.9593430268031453,-58.40336134453781,-0.6067632324291197
2012-01-01,-2.1586256496422216,-110.18387553041018,0.9838614495718414,1.0021786574277733,2.3218135322667255,-0.6196066068215693,1.843873858349121,-0.9493814815561905,-60.86248982912936,-0.781581084763586
2012-02-01,-2.232712366498659,-120.55909863945577,0.5887871770758262,1.1548165651601026,1.789797307562191,-0.5727970953948497,1.7530291312193969,-0.9044129017857134,-64.01907356948229,-0.9257886640921622
2012-03-01,-1.9770908150835047,-114.6656005248698,0.32391167426986767,1.2421869193989732,0.47420614807160977,-0.5069413368788779,1.895531349172308,-0.836118483634225,-50.595103151212875,-0.9328711359617088
2012-04-01,-1.973305686152441,-124.76080183086553,0.21114735056053868,1.0980876861166853,-6.005161882614218,-0.46336513015410036,1.7794507656771374,-0.8586018383776629,-60.258031054491234,-0.9297119650215626
2012-05-01,-2.0363941812605284,-143.84487072560466,1.0452421437476571,0.7022103913489665,-7.991126086980693,-0.4255458593436631,1.8038813370949924,-0.8527962978070129,-48.67066895368781,-0.6365396816672126
2012-06-01,-2.14241553594615,-166.24835252994097,1.6968830239152686,0.29696177142296093,-12.985489137487182,-0.3880555102542204,1.7762596071733583,-0.8467969662994175,-28.88256077624848,-0.3973228124383149
2012-07-01,-2.169428975017797,-196.5364493832818,0.7369298905665765,0.4744039750891491,-11.382400787108738,-0.33113496244376556,1.833063347258923,-0.8938764738547936,-38.967961108182514,-0.7001948833487909
2012-08-01,-2.053959802177714,-533.1189710610932,-0.33743964464725457,0.6217210824491106,-6.457796931262816,-0.30821806146605796,1.634320735444339,-0.8766095620816118,16.603773584905657,-0.9724325228389227
